titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,long,lat,X,Y
"Maison de la plage de l'Est","https://montreal.ca/en/places/maison-de-la-plage-de-lest","","2024-10-28","2024-12-11","Rivière-des-Prairies–Pointe-aux-Trembles","Parks and gardens","Welcome centre","","","","",,"","","","","",,"Maison de la plage de l'Est","16240, rue Bureau",,"H1A1Z1","Montréal",-73.479611,45.698044,"306387.8","5062018.0"
"Parc Beaubien sledding slope - Outremont","https://montreal.ca/en/places/parc-beaubien-sledding-slope-outremont","Please check the ice conditions before going there in person.","2020-12-11","2024-12-11","Outremont","Sports and recreation","Sledding slope","Sledding","","","","Temporarily closed","Regular schedule: [lundi 08:00-19:30, mardi 08:00-19:30, mercredi 08:00-19:30, jeudi 08:00-19:30, vendredi 08:00-19:30, samedi 08:00-19:30, dimanche 08:00-19:30]","Depending on conditions, schedule is subject to change.","","","",,"Parc Beaubien sledding slope - Outremont","461 Chemin de la Côte-Sainte-Catherine",,"H2V3H1","Montréal",-73.609489839516,45.515593183881,"296245.7","5041747.4"
"Parc Frédéric-Back welcome centre","https://montreal.ca/en/places/parc-frederic-back-welcome-centre","The TOHU, Québec’s first LEED gold-certified building, is also the only venue in North America that specializes in the contemporary circus arts. It offers cultural, recreational and environmental education programming.
As the park’s reception centre, it offers interpretive services to park visitors, including Simbioz, which traces the history and transformation of the park to the present day, as well as temporary exhibitions and a program of activities and guided tours through which you can discover this unique park.
In the summertime, TOHU lends out bicycles, scooters and kites. Cross-country skis and snowshoes are available in the wintertime.
","2020-11-23","2024-12-11","Villeray–Saint-Michel–Parc-Extension","Parks and gardens","Welcome centre","","Air conditioning,Snack-bar,Drinking fountain,Children's playground,Free parking,Bike stand,Changing table,Washroom,Free Wi-Fi","Stroller-friendly,Ground-level entrance,Accessible washrooms,Paratransit drop-off zone","",,"Regular schedule: [lundi 09:00-17:00, mardi 09:00-17:00, mercredi 09:00-17:00, jeudi 09:00-17:00, vendredi 09:00-17:00, samedi 09:00-17:00, dimanche 09:00-17:00]","","","","numéro: 5143768648",,"Parc Frédéric-Back welcome centre","2345 Rue Jarry Est",,"H1Z4P3","Montréal",-73.616115399949,45.558694317881,"295735.0","5046538.0"
"Parc Gabriel-Lalemant","https://montreal.ca/en/places/parc-gabriel-lalemant","","2019-09-11","2024-12-11","Ahuntsic-Cartierville","Parks and gardens","Park","Swimming","Picnic area,Barbecue,Showers,Drinking fountain,Children's playground,Toddler playground,Heated areas,Bike stand,Washroom,Changing rooms","Stroller-friendly","",,"Regular schedule: [lundi 06:00-00:00, mardi 06:00-00:00, mercredi 06:00-00:00, jeudi 06:00-00:00, vendredi 06:00-00:00, samedi 06:00-00:00, dimanche 06:00-00:00]","","","","",,"Parc Gabriel-Lalemant","2244 Rue Sauvé Est",,"H2B1B4","Montréal",-73.642291625821,45.570450140217,"293693.8","5047847.7"
"St-Jean-Vianney soccer field","https://montreal.ca/en/places/st-jean-vianney-soccer-field","You must make a reservation.","2021-03-18","2024-12-11","Rivière-des-Prairies–Pointe-aux-Trembles","Sports and recreation","Soccer field","Soccer","Free parking","","",,"","","","","numéro: 5148728014","reservation_rdppat@montreal.ca","St-Jean-Vianney soccer field","12640 Boulevard Gouin Est",,"H1C1B8","Montréal",-73.518101613961,45.691186013327,"303390.1","5061255.8"
"Halte Bellerive","https://montreal.ca/en/places/halte-bellerive","This project called for the transformation of the section of Rue Bellerive between Rue Baldwin and Rue Des Ormeaux into a public space. As well as act as a destination, this space provides a link between Parc Pierre-Tétreault and Parc de la Promenade-Bellerive.
Through short-term transitional redevelopments and a permanent redevelopment, the  Halte Bellerive will offer pedestrians and cyclists of all ages places for relaxation and contemplation, recreation and food services, while respecting and complementing existing activities.
Objectives

Develop an attractive and unifying social space between Parc Pierre-Tétreault and Parc de la Promenade-Bellerive that can be used year-round.
Improve the offer for residents in terms of relaxation, recreation, activities and refreshments, in a harmonious and safe setting accessible to everyone.
Highlight the proximity to the river and the natural and recreational character of the location.
Lend dynamism to the neighbourhood and increase the size of the pedestrian space.

Installations

Multipurpose four-season kiosks (pop-up markets, interpretation and recreation activities, etc.)
Relaxing street furniture (benches, picnic tables, bad weather shelters)
Possibility of renting equipment for activities and games as well as books and sports equipment (component postponed due to the COVID-19 pandemic)

","2021-07-27","2024-12-11","Mercier–Hochelaga-Maisonneuve","Sports and recreation","Rue piétonne","","","","",,"","","","","",,"Halte Bellerive","Between Rue Baldwin and Rue Des Ormeaux",,,"Montréal",-73.510425462837,45.597589116406,"303986.7","5050853.9"
"Avenue du Musée","https://montreal.ca/en/places/avenue-du-musee","Bordered by the Museum’s CGI and Max and Iris Stern sculpture gardens.","2021-12-23","2024-12-11","Ville-Marie","Sports and recreation","Rue piétonne","","","","",,"","","","","",,"Avenue du Musée","Avenue du Musée","Entre la rue Sherbrooke Ouest et l’avenue du Docteur-Penfield",,"Montréal",-73.581901062288,45.499965238009,"298399.4","5040008.1"
"Rue Victoria","https://montreal.ca/en/places/rue-victoria","With its warm colours and street furniture, this temporary park offers a moment of relaxation for visitors.","2021-12-23","2024-12-11","Ville-Marie","Sports and recreation","Rue piétonne","","","","",,"","","","","",,"Rue Victoria","Rue Victoria","Entre la rue Sherbrooke Ouest et l’avenue du Président-Kennedy ",,"Montréal",-73.57368,45.504188,"299042.3","5040476.7"
"Places D’Youville et Royale","https://montreal.ca/en/places/places-dyouville-et-royale","A real urban oasis!
","2021-10-05","2024-12-11","Ville-Marie","Sports and recreation","Rue piétonne","","","","",,"","","","","",,"Places D’Youville et Royale","Place D'Youville and Place Royale",,"H2Y2V2","Montréal",-73.554191,45.503501,"300565.2","5040399.2"
"Rue Dufresne","https://montreal.ca/en/places/rue-dufresne","Enjoy the magnificent redesign of Rue Dufresne (beginning May 31, 2021).","2021-12-23","2024-12-11","Ville-Marie","Sports and recreation","Rue piétonne","","","","",,"","","","","",,"Rue Dufresne","Rue Dufresne","Entre les rues de Rouen et Larivière",,"Montréal",-73.557134,45.532768,"300337.6","5043651.8"
