titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,long,lat,X,Y
"Salle d’exposition Goncourt","https://montreal.ca/lieux/salle-dexposition-goncourt","Elle constitue un lieu de passage pour les expositions professionnelles ou d’artistes amateurs, les vernissages et autres installations de petite taille. Son amphithéâtre central peut accueillir 80 personnes assisses. Propice à la socialisation, on y tient quotidiennement diverses animations, conférences et projections allant des rencontres d’auteurs, ateliers, activités et spectacles pour jeunes et adultes. La salle d’exposition Goncourt peut être louée par les organismes et citoyens d’Anjou. Il est cependant à préciser qu’elle ne constitue pas une salle professionnelle. L’accès se fait par l’accueil de la bibliothèque Jean-Corbeil. L’entrée aux expositions est libre, selon les heures d’ouverture de la bibliothèque.","2022-04-01","2025-02-05","Anjou","","Centre culturel","","Air climatisé,Stationnement gratuit,Toilettes","Accessible en fauteuil roulant,Adapté aux poussettes,Rampe d'accès,Toilettes accessibles,Zone de débarcadère","",,"Horaire habituel d’été à partir du 1 juin: [lundi 12:00-20:00, mardi 12:00-20:00, mercredi 12:00-20:00, jeudi 10:00-18:00, vendredi 10:00-18:00, samedi 10:00-17:00, dimanche 10:00-17:00], Horaire habituel à partir du 7 septembre: [lundi 12:00-20:00, mardi 12:00-20:00, mercredi 12:00-20:00, jeudi 12:00-20:00, vendredi 10:00-18:00, samedi 10:00-17:00, dimanche 10:00-17:00]","","","","numéro: 5144938260",,"Salle d’exposition Goncourt","7500, avenue Goncourt",,"H1K3X9","Montréal",-73.558411,45.602902,"300243.5","5051446.0"
"Chalet du parc Lucie-Bruneau","https://montreal.ca/lieux/chalet-du-parc-lucie-bruneau","Durant l’hiver, le chalet accueille les visiteurs qui souhaitent chausser leurs patins, déposer leur équipement et se réchauffer. Une surveillance des lieux est assurée durant les heures d’ouverture.Le parc Lucie-Bruneau est accessible par le circuit d'autobus 44 de la STM, dont des arrêts sont situés sur le boulevard des Galeries-d'Anjou. Que ce soit pour enfiler vos patins ou votre maillot de bain, le chalet vous accueille toute l'année.","2021-01-28","2025-02-10","Anjou","Parc et jardins","Chalet","","Douches,Fontaine d'eau potable,Roulotte ou chalet chauffé,Toilettes,Vestiaire","Entrée de plain-pied,Sentier d'accès","",,"Horaire habituel à partir du 30 décembre: [lundi 16:00-22:00, mardi 16:00-22:00, mercredi 16:00-22:00, jeudi 16:00-22:00, vendredi 16:00-22:30, samedi 10:00-22:30, dimanche 10:00-22:00], Fermé - période de fermeture à partir du 17 mars","","","","",,"Chalet du parc Lucie-Bruneau","7051, avenue de l'Alsace",,"H1J2X8","Montréal",-73.583429496728,45.604161305168,"298292.0","5051587.6"
"Parc de l'Épervière","https://montreal.ca/lieux/parc-de-leperviere","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-11-29","2025-02-17","Verdun","Parc et jardins","Parc","","Module de jeu pour enfants,Module de jeu pour tout-petits","","",,"Horaire habituel: [lundi 07:00-21:00, mardi 07:00-21:00, mercredi 07:00-21:00, jeudi 07:00-21:00, vendredi 07:00-21:00, samedi 07:00-21:00, dimanche 07:00-21:00]","","","","",,"Parc de l'Épervière","rue de la Vigne",,"H3E1Z3","Montréal",-73.547088503838,45.465744205141,"301117.8","5036202.9"
"Jardin communautaire Châteaufort","https://montreal.ca/lieux/jardin-communautaire-chateaufort","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-19","2025-02-20","Côte-des-Neiges–Notre-Dame-de-Grâce","Parc et jardins","Jardin","","","","",,"","","","","numéro: 5144834680",,"Jardin communautaire Châteaufort","Avenue Van Horne et avenue de Darlington",,,"Montréal",-73.625842142755,45.507841402573,"294966.8","5040887.8"
"Parc Alexis-Nihon","https://montreal.ca/lieux/parc-alexis-nihon","Profitez des attraits de la nature ou pratiquez des loisirs en plein air!
Le terrain de volleyball (volleyball libre) est ouvert de 9 h à 21 h.
","2019-07-24","2025-02-21","Saint-Laurent","Parc et jardins","Parc","Volleyball","Terrain de volleyball","Adapté aux poussettes,Sentier d'accès","",,"Horaire habituel: [lundi 06:00-23:00, mardi 06:00-23:00, mercredi 06:00-23:00, jeudi 06:00-23:00, vendredi 06:00-23:00, samedi 06:00-23:00, dimanche 06:00-23:00]","","","","",,"Parc Alexis-Nihon","2999, rue Badeaux",,"H4M1M4","Saint-Laurent",-73.565362136803,45.500933837727,"299692.0","5040114.5"
"Parc du Bois-des-Pères","https://montreal.ca/lieux/parc-du-bois-des-peres","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-07-30","2025-02-21","Rosemont–La Petite-Patrie","Parc et jardins","Parc","","","","",,"Horaire habituel: [lundi 06:00-00:00, mardi 06:00-00:00, mercredi 06:00-00:00, jeudi 06:00-00:00, vendredi 06:00-00:00, samedi 06:00-00:00, dimanche 06:00-00:00]","","","","",,"Parc du Bois-des-Pères","Place de Jumonville",,,"Montréal",-73.555065393448,45.574458702655,"300502.3","5048284.8"
"Parc 40e Avenue / 41e Avenue","https://montreal.ca/lieux/parc-40e-avenue-41e-avenue","Le parc 40e Avenue / 41e Avenue est également un endroit parfait pour profiter des attraits de la nature.","2019-07-30","2025-02-21","Lachine","Parc et jardins","Parc","","","","",,"Horaire habituel: [lundi 06:00-23:00, mardi 06:00-23:00, mercredi 06:00-23:00, jeudi 06:00-23:00, vendredi 06:00-23:00, samedi 06:00-23:00, dimanche 06:00-23:00]","","","","",,"Parc 40e Avenue / 41e Avenue","41e Avenue",,"H8T1A2","Montréal",-73.702291846275,45.440407235933,"288974.2","5033406.0"
"Parc De Lotbinière","https://montreal.ca/lieux/parc-de-lotbiniere","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-07-30","2025-02-21","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Parc","","","","",,"Horaire habituel: [lundi 06:00-00:00, mardi 06:00-00:00, mercredi 06:00-00:00, jeudi 06:00-00:00, vendredi 06:00-00:00, samedi 06:00-00:00, dimanche 06:00-00:00]","","","","",,"Parc De Lotbinière","1, rue du Parc-De Lotbinière",,"H1M2E1","Montréal",73.54739338715305,45.582688781024245,"2865880.8","14396219.8"
"Parc Villeray Ouest","https://montreal.ca/lieux/parc-villeray-ouest","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-07-30","2025-02-21","Villeray–Saint-Michel–Parc-Extension","Parc et jardins","Parc","","Aire de pique-nique,Fontaine d'eau potable,Module de jeu pour enfants","","",,"Horaire habituel: [lundi 06:00-00:00, mardi 06:00-00:00, mercredi 06:00-00:00, jeudi 06:00-00:00, vendredi 06:00-00:00, samedi 06:00-00:00, dimanche 06:00-00:00]","","","","",,"Parc Villeray Ouest","7750, avenue Christophe-Colomb",,"A1B2C3","Montréal",-73.620649159329,45.546069417436,"295378.9","5045135.5"
"Parc Shaughnessy","https://montreal.ca/lieux/parc-shaughnessy","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-07-30","2025-02-21","Villeray–Saint-Michel–Parc-Extension","Parc et jardins","Parc","","Aire de pique-nique,Module de jeu pour enfants","","",,"Horaire habituel: [lundi 06:00-00:00, mardi 06:00-00:00, mercredi 06:00-00:00, jeudi 06:00-00:00, vendredi 06:00-00:00, samedi 06:00-00:00, dimanche 06:00-00:00]","","","","",,"Parc Shaughnessy","7634, 17e Avenue",,"H2A2S4","Montréal",-73.601150980617,45.565547802153,"296904.2","5047298.0"
